Jakie zastosowanie mają metryki oparte o ilość linii kodu źródłowego?;"Metryki LOC (Lines of Code) mierzą ilość kodu - mogą służyć do estymacji pracochłonności i jakości. KLOC = tysiąc linii kodu, często używane w modelach jak COCOMO.";3
Proszę wyjaśnić pojęcie logicznej linii kodu.;"Def: Logiczna linia kodu – instrukcja zakończona średnikiem - Odp: Lepsza niż fizyczna linia kodu.";4
Proszę opisać klasyczną wersję szacowania przez analogię.;"Porównanie projektu z podobnym historycznym - przenoszenie danych estymacyjnych.";4
Proszę wyjaśnić metodę szacowania z wykorzystaniem logiki rozmytej.;"Rozmycie wartości dla nieprecyzyjnych danych - wynik jako zakres prawdopodobieństwa.";4
Proszę wyjaśnić metodę szacowania z wykorzystaniem składników standardowych.;"Biblioteka gotowych komponentów z ustaloną czasochłonnością - sumowanie ich czasów.";4
Proszę wyjaśnić metodę szacowania z wykorzystaniem składników standardowych z percentylami.;Jak wyżej, ale dodatkowo uśrednienie wartości (percentyle) z historii.;4
Proszę wyjaśnić metodę szacowania przez punktację historyjek.;Szacowanie czasochłonności user stories na podstawie punktów – np. Planning Poker.;4
Proszę wyjaśnić metodę szacowania rozmiarami.;Szacowanie na podstawie liczby przypadków użycia, ekranów, raportów itp.;4
Proszę wyjaśnić pojęcie produktywności w odniesieniu do metod szacowania przez analogię.;Produktywność to stosunek efektów pracy do użytych zasobów (np. LOC/h). W estymacji przez analogię porównuje się produktywność nowego projektu do danych historycznych.;4
Proszę opisać metodę PERT. Dlaczego PERT opiera się na rozkładzie trójkątnym?;"Def: PERT – estymacja z trzema wartościami (optymistyczna, pesymistyczna, najbardziej prawdopodobna) - Odp: Rozkład trójkątny lepiej odzwierciedla rzeczywistość.";4
Jak obliczyć czas realizacji projektu dla zadanego z góry prawdopodobieństwa sukcesu?;"Z rozkładu PERT: czas = (O + 4M + P)/6    - wariancja → obliczenia prawdopodobieństwa.";4
Proszę opisać model podstawowy COCOMO (81).;"Def: Model podstawowy COCOMO (Constructive Cost Model) estymuje nakład pracy na podstawie rozmiaru projektu wyrażonego w KLOC - KLOC = tysiąc linii kodu (thousand lines of code) - Odp: effort = a*(KLOC)^b, gdzie a i b zależą od typu projektu.";5
Czym różni się model podstawowy od szczegółowego?;Szczegółowy uwzględnia więcej czynników kosztowych (np. zespół, środowisko).;5
Proszę podać definicję metryki punktów funkcyjnych. Jakie celem ma analiza punktów funkcyjnych?;"Def: Punkt funkcyjny – jednostka miary funkcjonalności - Odp: Służy do szacowania na poziomie biznesowym.";5
Proszę opisać proces estymacji za pomocą analizy punktów funkcyjnych.;Zliczenie elementów funkcjonalnych, ich wagi, przeliczenie na punkty, przeliczenie na czas.;5
Proszę wymienić i opisać rodzaje punktów funkcyjnych.;Wejścia, wyjścia, pliki, interfejsy zewnętrzne, zapytania użytkownika – każdy z wagą.;5
Proszę podać znane definicję jakości oprogramowania.;"ISO: jakość to zdolność do spełnienia wymagań - Odp: np. brak błędów, zgodność ze specyfikacją.";5
Proszę podać definicję metryki częstości defektów wraz z przykładem.;"Def: Częstość defektów = defekty / LOC lub czas - Odp: np. 5 błędów / 1000 LOC.";5
Proszę podać definicję metryki częstości defektów w testach maszynowych. Proszę wyjaśnić jak należy interpretować otrzymywane wartości tej metryki.;"Liczba defektów / liczba przypadków testowych - niska wartość = lepsza jakość.";5
Proszę podać definicję metryki efektywności usuwania defektów. Proszę opisać przykładowe zastosowanie.;"Liczba usuniętych / liczba wykrytych defektów - Odp: ocena skuteczności testów.";5
Proszę opisać statyczny model niezawodności oprogramowania.;Model zakłada stałe tempo awarii, służy do oceny niezawodności przed wdrożeniem.;5
